siren,adresse,nom,type,lat
246200729,,CA DU BOULONNAIS,CA,#N/A
200067205,,CA DU COTENTIN,CA,#N/A
200044618,,CA DU DOUAISIS,CA,#N/A
242500361,,CA DU GRAND BESANCON,CA,#N/A
200023737,,CA DU GRAND CAHORS,CA,#N/A
248900334,,CA DU GRAND SENONAIS,CA,#N/A
242010056,,CA DU PAYS AJACCIEN,CA,#N/A
200039857,,CA DU PAYS DE GRASSE,CA,#N/A
243500782,,CA DU PAYS DE SAINT MALO,CA,#N/A
200073419,,CA DU PUY EN VELAY,CA,#N/A
200071892,,CA DU SAINT QUENTINOIS,CA,#N/A
200034700,,CA DURANCE LUBERON VERDON,CA,#N/A
200071454,,CA EVREUX PORTES DE NORMANDIE,CA,#N/A
200069821,,CA FECAMP CAUX LITTORAL AGGLOMERATION,CA,#N/A
200066124,,CA GAILLAC GRAULHET,CA,#N/A
200067825,,CA GAP TALLARD DURANCE,CA,#N/A
248400251,,CA GRAND AVIGNON,CA,#N/A
200069052,,CA GRAND BELFORT,CA,#N/A
247100589,,CA GRAND CHALON,CA,#N/A
200069110,,CA GRAND CHAMBERY AGGLOMERATION,CA,#N/A
200010650,,CA GRAND DOLE,CA,#N/A
200034825,,CA GRAND GUERET,CA,#N/A
200059228,,CA GRAND PARIS SUD SEINE ESSONNE SENART,CA,#N/A
247600596,,CA HAVRAISE,CA,#N/A
243400819,,CA HERAULT MEDITERRANEE,CA,#N/A
248500589,,CA LA ROCHE SUR YON,CA,#N/A
241700434,,CA LA ROCHELLE,CA,#N/A
200065928,,CA LANNION TREGOR COMMUNAUTE,CA,#N/A
200069532,,CA LISIEUX NORMANDIE,CA,#N/A
200065886,,CA LOIRE FOREZ AGGLOMERATION,CA,#N/A
